Year,Brand,Model,Mileage_k,Mileage,Rating,Review Count,Price
2019,Mercedes-Benz,AMG SLC 43 ,8,544,4.7,244,"$48,995 "
2024,Mercedes-Benz,C-Class C 300 4MATIC,3,990,4.6,696,"$50,888 "
2021,Mercedes-Benz,AMG G 63 ,49,180,4.5,991,"$164,882 "
2023,Mercedes-Benz,AMG E 63 S 4MATIC,8,712,4.9,"2,166","$157,771 "
2022,Mercedes-Benz,AMG GLC 43 4MATIC Coupe,30,349,4.9,911,"$58,702 "
2022,Mercedes-Benz,CLA 250 ,9,905,4.1,522,"$35,595 "
2020,Mercedes-Benz,AMG E 53  4MATIC,37,37,4.8,"1,905","$60,146 "
2019,Mercedes-Benz,AMG S 63  4MATIC,30,978,4.7,"2,931","$79,987 "
2023,Mercedes-Benz,C-Class C 300 4MATIC,3,699,4.6,696,"$46,888 "
2020,Mercedes-Benz,AMG E 53  4MATIC,21,275,4.7,"1,424","$60,977 "
2022,Mercedes-Benz,GLB 250 ,16,300,4.9,"1,411","$36,295 "
2022,Mercedes-Benz,AMG GT 53 ,11,705,4.8,752,"$85,987 "
2023,Mercedes-Benz,Maybach GLS 600 4MATIC,2,767,3.7,113,"$158,880 "
2022,Mercedes-Benz,AMG GLE 53 4MATIC,29,629,3.8,65,"$65,987 "
2020,Mercedes-Benz,GLC 300  4MATIC,42,188,4.8,184,"$30,502 "
2022,Mercedes-Benz,GLB 250 ,25,426,4.8,894,"$35,887 "
2019,Mercedes-Benz,AMG SLC 43 ,13,804,4,526,"$49,995 "
2022,Mercedes-Benz,A-Class 4MATIC,21,287,4.8,527,"$35,000 "
2020,Mercedes-Benz,SL 450 ,23,695,4.6,"1,276","$67,500 "
2021,Mercedes-Benz,AMG C 43  4MATIC,21,944,4.7,318,"$45,955 "
2021,Mercedes-Benz,AMG GT 53 ,26,835,4.8,"5,398","$79,894 "
2020,Mercedes-Benz,SL 450 ,23,508,4.5,501,"$64,911 "
2023,Mercedes-Benz,AMG GLA 45 ,5,936,4.9,"2,375","$54,750 "
2023,Mercedes-Benz,AMG GLE 63 S-Model 4MATIC,6,190,4.8,558,"$108,946 "
2020,Mercedes-Benz,SL 450 ,47,210,4.5,819,"$58,998 "
2021,Mercedes-Benz,G-Class G 550 4MATIC,21,717,4.8,"1,354","$139,994 "
2024,Mercedes-Benz,C-Class C 300 4MATIC,3,36,4.6,696,"$52,888 "
2023,Mercedes-Benz,GLB 250 ,6,695,4.7,110,"$41,069 "
2021,Mercedes-Benz,AMG C 63 S,14,150,4.6,122,"$79,998 "
2024,Mercedes-Benz,AMG GT 43 ,0,346,4.5,"1,050","$101,998 "
2023,Mercedes-Benz,AMG SL 55 ,3,643,4.9,848,"$119,899 "
2024,Mercedes-Benz,GLE 450 Plug-In Hybrid  4MATIC,4,354,3.9,"1,800","$78,900 "
2023,Mercedes-Benz,EQE 500 4MATIC,2,454,4.7,192,"$87,902 "
2023,Mercedes-Benz,GLB 250,8,859,4.9,911,"$39,955 "
2021,Mercedes-Benz,AMG E 53  4MATIC,39,499,3.6,"1,405","$64,992 "
2023,Mercedes-Benz,EQE 350 4MATIC,4,143,4.7,192,"$77,900 "
2023,Mercedes-Benz,AMG GLS 63 4MATIC,7,830,4.9,322,"$135,990 "
2018,Mercedes-Benz,GLA 250 ,55,945,4.8,902,"$20,657 "
2023,Mercedes-Benz,GLA 250  4MATIC,12,750,4.8,902,"$37,870 "
2023,Mercedes-Benz,AMG E 53 E 53 AMG,1,233,4,1000,"$69,795 "
2022,Mercedes-Benz,S-Class S 500 4MATIC,10,83,4.7,"1,371","$84,690 "
2023,Mercedes-Benz,AMG CLA 45  4MATIC,1,999,4.8,"1,354","$61,992 "
2023,Mercedes-Benz,EQS 450+ 4MATIC,7,301,4.4,654,"$73,499 "
2022,Mercedes-Benz,E-Class E 350 4MATIC,17,886,4.1,522,"$47,399 "
2024,Mercedes-Benz,AMG GLS 63  4MATIC,8,227,4.7,"1,014","$130,994 "
2019,Mercedes-Benz,AMG SLC 43 ,23,795,4.9,"2,506","$46,519 "
2020,Mercedes-Benz,A-Class A 220 4MATIC,28,875,4.4,"2,339","$29,598 "
2022,Mercedes-Benz,AMG SL 55 ,1,643,4.8,"4,576","$119,510 "
2023,Mercedes-Benz,CLA 250  4MATIC,21,258,4.8,788,"$35,878 "
2020,Mercedes-Benz,GLE 450 4MATIC,39,723,4.7,110,"$46,999 "
2021,Mercedes-Benz,GLE 350 ,23,311,4.3,352,"$50,477 "
2022,Mercedes-Benz,Maybach S 580 4MATIC,39,468,4.3,"1,491","$142,106 "
2022,Mercedes-Benz,GLB 250 ,16,300,4.9,"1,411","$36,295 "
2023,Mercedes-Benz,Sprinter 2500 Standard Roof,10,636,4.8,752,"$52,988 "
2019,Mercedes-Benz,C-Class C 300,46,120,4,5,"$24,862 "
2021,Mercedes-Benz,GLS 450 4MATIC,37,252,3.2,98,"$54,495 "
